Estacion_id;Estacion;troncal_estacion;numero_vagones_estacion;tipo_estacion;latitud_estacion;longitud_estacion
6000;Portal Eldorado;Calle 26;0;1;46816043;-7412139545
6001;Modelia;Calle 26;4;4;467504413;-7411711695
6002;Normandía;Calle 26;4;4;466902134;-7411325992
6100;Av.Rojas;Calle 26;6;4;466195235;-7410875996
6101;ElTiempo;Calle 26;4;4;465708058;-7410562544
6102;SalitreElGreco;Calle 26;4;4;465086908;-7410164474
6103;CAN;Calle 26;4;4;464688089;-7409904759
6104;Gobernación;Calle 26;4;4;464284515;-740965137
6105;QuintaParedes;Calle 26;4;4;463752209;-7409310384
6106;RecintoFerial;Calle 26;2;4;46343142;-7408969371
6107;CiudadUniversitaria;Calle 26;2;4;463087977;-7408352729
6108;ConcejodeBogotá;Calle 26;2;4;462598289;-7408028041
6109;CentroMemoria;Calle 26;2;4;46204659;-7407631258
6111;Universidades;Calle 26;2;3;460464286;-7406730954
10000;Portal20deJulio;Cr 7-10;0;1;456571811;-7409700839
10001;CountrySur;Cr 7-10;2;4;457141439;-7409863149
10002;Av.PrimerodeMayo;Cr 7-10;3;4;457693711;-7409370652
10003;CiudadJardín;Cr 7-10;2;4;458153243;-7409033824
10004;Policarpa;Cr 7-10;2;4;458625694;-7408692095
10005;Bicentenario;Cr 7-10;0;2;459402109;-7408183585
10006;SanVictorino;Cr 7-10;3;4;460101831;-7407740612
10007;LasNieves;Cr 7-10;2;4;460606079;-7407431885
10008;SanDiego;Cr 7-10;2;4;461089733;-740714967
10009;MuseoNacional;Cr 7-10;0;4;461524712;-7406922646
10010;SanBernardo;Cr 7-10;2;4;459019014;-7408431921
7000;PortalSur;NQS;0;1;459701269;-7416939799
7001;PERDOMO;NQS;2;4;459577569;-7416497116
7002;MADELENA;NQS;2;4;459625493;-7415687517
7003;SEVILLANA;NQS;2;4;459509631;-7414740798
7004;VENECIA;NQS;2;4;459556711;-7414264966
7005;ALQUERIA;NQS;2;4;459425849;-7413427126
7006;GeneralSantander;NQS;4;2;459356881;-741295448
7007;NQS-Calle38ASur;NQS;2;4;459379207;-74123754
7008;NQS-Calle30Sur;NQS;2;4;459479179;-7411787927
7009;SENA;NQS;2;4;459737052;-7411064255
7010;Bosa;Soacha;2;4;459687865;-7418122466
7112;COMUNEROS;NQS;2;4;46042459;-7409985692
7113;SANTAISABEL;NQS;2;4;460166717;-7410261112
7503;SANMATEO;Soacha;3;2;458598283;-7420546046
